jalali_date,jalali_hour,input,endpoint,output
14020920,2,1,A,
14020920,3,1,B,
14020920,3,1,C,
14020920,5,1,A,
14020920,15,2,D,
14020920,23,3,A,
14020920,8,1,B,
14020920,9,2,C,
14020921,4,3,A,
14020921,6,1,A,
14020921,2,2,B,
14020921,8,2,B,
14020921,15,3,C,
14020921,16,1,C,
14020921,17,1,D,
14020921,3,2,D,
14020921,12,3,A,
14020921,18,1,A,
14020922,23,2,A,
14020922,8,3,B,
14020922,9,1,C,
14020922,4,2,A,
14020922,6,3,A,
14020922,2,1,B,
14020922,8,2,A,
14020922,9,2,B,
14020922,4,3,C,
14020922,6,1,A,
14020922,2,1,A,
14020922,8,3,B,
14020922,1,3,D,
